# PFTAB(7,56,10,9) - iron-group partition functions
# 35280 values in column-major (Fortran) order
# READ(unit,*) ((((PFTAB(i,j,k,l),i=1,7),j=1,56),k=1,10),l=1,9)
     1.00000      1.00000      1.00000      1.00000      1.00000      1.00000      1.00000
     1.00000      1.00000      1.00000      1.00000      1.00000      1.00000      1.00000
     1.00100      1.00100      1.00100      1.00100      1.00100      1.00100      1.00100
     1.00100      1.00100      1.00100      1.00100      1.00100      1.00100      1.00100
     1.00200      1.00200      1.00200      1.00200      1.00200      1.00200      1.00100
     1.00200      1.00200      1.00200      1.00200      1.00200      1.00200      1.00200
     1.00400      1.00400      1.00400      1.00400      1.00400      1.00400      1.00300
     1.00500      1.00500      1.00500      1.00500      1.00500      1.00500      1.00400
     1.00700      1.00700      1.00700      1.00700      1.00700      1.00700      1.00600
     1.01000      1.01000      1.01000      1.01000      1.01000      1.01000      1.00900
     1.01500      1.01500      1.01500      1.01500      1.01500      1.01500      1.01200
     1.02000      1.02000      1.02000      1.02000      1.02000      1.02000      1.01600
     1.02700      1.02700      1.02700      1.02700      1.02700      1.02700      1.02100
     1.03600      1.03600      1.03600      1.03600      1.03600      1.03600      1.02800
     1.04800      1.04800      1.04800      1.04800      1.04800      1.04800      1.03600
     1.06400      1.06400      1.06400      1.06400      1.06400      1.06300      1.04600
     1.08300      1.08300      1.08300      1.08300      1.08300      1.08200      1.05900
     1.10700      1.10700      1.10700      1.10700      1.10600      1.10600      1.07400
     1.13700      1.13700      1.13600      1.13600      1.13600      1.13400      1.09200
     1.17300      1.17300      1.17300      1.17200      1.17200      1.16900      1.11300
     1.24500      1.24400      1.24300      1.24200      1.24000      1.23500      1.15100
     1.34100      1.34000      1.33600      1.33300      1.33000      1.32100      1.19800
     1.47000      1.46700      1.46000      1.45400      1.44700      1.43000      1.25600
     1.64300      1.63800      1.62300      1.61000      1.59600      1.56600      1.32400
     1.87700      1.86600      1.83700      1.81000      1.78500      1.73300      1.40500
     2.19300      2.17200      2.11700      2.06700      2.02200      1.93400      1.49800
     2.62300      2.58400      2.48400      2.39300      2.31400      2.17400      1.60400
     3.20800      3.13900      2.96300      2.80500      2.67300      2.45500      1.72300
     4.00300      3.88600      3.58600      3.32300      3.10900      2.78000      1.85600
     5.07900      4.88600      4.39600      3.96900      3.63400      3.15100      2.00100
     7.74000      7.32700      6.29200      5.40700      4.74300      3.87400      2.27100
    11.94300     11.13000      9.11400      7.41700      6.19600      4.73200      2.57300
    18.32400     16.83700     13.18500     10.15400      8.05200      5.71800      2.90100
    27.60400     25.05900     18.85600     13.77300     10.36100      6.82400      3.25200
    40.52900     36.41900     26.47400     18.41700     13.16100      8.03700      3.61800
    57.79100     51.48900     36.34400     24.19400     16.47000      9.33800      3.99400
    79.95000     70.72800     48.69300     31.17300     20.28500     10.70800      4.37500
   107.37300     94.42400     63.64800     39.36900     24.58400     12.12600      4.75500
   140.19000    122.66700     81.21400     48.74300     29.32000     13.57000      5.12900
   178.28000    155.33600    101.28100     59.20300     34.43300     15.02200      5.49400
   221.28400    192.10900    123.62700     70.61600     39.85100     16.46300      5.84700
   268.64000    232.49900    147.94300     82.81500     45.49300     17.87700      6.18400
   319.63400    275.89300    173.85700     95.61200     51.27600     19.25100      6.50500
   373.44800    321.59700    200.95700    108.81200     57.12000     20.57300      6.80700
   429.22200    368.88400    228.82300    122.22100     62.94800     21.83600      7.09000
   486.10100    417.03500    257.04500    135.65500     68.69400     23.03300      7.35500
   543.27300    465.36900    285.23800    148.94900     74.29900     24.16000      7.60000
   600.00000    513.27000    313.06300    161.96000     79.71500     25.21500      7.82600
   655.64000    560.20400    340.22400    174.56600     84.90300     26.19800      8.03400
   709.65100    605.72300    366.48000    186.67300     89.83500     27.10900      8.22600
   761.59900    649.46800    391.64100    198.20700     94.49200     27.94900      8.40000
   811.15500    691.16800    415.56300    209.11600     98.86200     28.72200      8.55900
   858.08100    730.62900    438.15000    219.37000    102.94100     29.43100      8.70400
   902.22600    767.73200    459.34500    228.95200    106.72800     30.07800      8.83500
   943.51300    802.41400    479.12100    237.86100    110.22900     30.66800      8.95400
   981.92600    834.66800    497.48400    246.10600    113.45300     31.20500      9.06200
     2.00100      2.00100      2.00100      2.00100      2.00100      2.00100      2.00100
     2.00100      2.00100      2.00100      2.00100      2.00100      2.00100      2.00100
     2.00200      2.00200      2.00200      2.00200      2.00200      2.00200      2.00200
     2.00300      2.00300      2.00300      2.00300      2.00300      2.00300      2.00300
