# HOTOP bound-free edge parameters
# 60 edges, 7 parameters each:
#   freq0 (Hz), sigma0 (cm2), s, n_power, g_stat, E_exc (eV), species_id
# Cross-section: sigma = sigma0 * (s + freq0/nu - s*freq0/nu) * sqrt((freq0/nu)^n_power)
# Applied with Boltzmann factor exp(-E_exc/kT) and stat weight g_stat
       4.149945D15      6.90D-18     1.000    6.     6.     13.71   22.
       4.574341D15      2.50D-18     1.000    4.     2.     11.96   22.
       5.220770D15      1.08D-17     1.000    4.    10.      9.28   22.
       5.222307D15      5.35D-18     3.769    2.     1.      0.00   55.
       5.892577D15      4.60D-18     1.950    6.     6.      0.00   22.
       6.177022D15      3.50D-18     1.000    4.    12.      5.33   22.
       6.181062D15      6.75D-18     3.101    5.     1.      4.05   29.
       6.701879D15      6.65D-18     2.789    5.     5.      1.90   29.
       7.158382D15      6.65D-18     2.860    6.     9.      0.00   29.
       7.284488D15      3.43D-18     4.174    5.     6.      5.02   37.
       7.693612D15      3.53D-18     3.808    5.    10.      3.33   37.
       7.885955D15      2.32D-18     3.110    5.     6.      5.02   37.
       8.295079D15      3.97D-18     3.033    5.    10.      3.33   37.
       8.497686D15      7.32D-18     3.837    5.     4.      0.00   37.
       8.509966D15      2.00D-18     1.750    7.     3.     12.69   23.
       8.572854D15      1.68D-18     3.751    5.     6.      5.02   37.
       9.906370D15      4.16D-18     2.717    3.     6.      0.00   56.
       1.000693E16      2.40D-18     1.750    7.     9.      6.50   23.
       1.046078E16      4.80D-18     1.000    4.    10.     12.53   30.
       1.067157E16      2.71D-18     2.148    3.     6.      0.00   56.
       1.146734E16      2.06D-18     1.626    6.     6.      0.00   30.
       1.156813E16      5.20D-19     2.126    3.     6.      0.00   56.
       1.157840E16      9.10D-19     4.750    4.     1.      0.00   23.
       1.177220E16      5.30D-18     1.000    4.    12.      7.10   30.
       1.198813E16      3.97D-18     2.780    6.     1.      5.35   38.
       1.325920E16      3.79D-18     2.777    6.     5.      2.51   38.
       1.327649E16      3.65D-18     2.014    6.     9.      0.00   38.
       1.361466E16      7.00D-18     1.000    2.     5.      7.48   38.
       1.365932E16      9.30D-19     1.500    7.     6.      8.00   24.
       1.481487E16      1.10D-18     1.750    7.     3.     16.20   31.
       1.490032E16      5.49D-18     3.000    5.     1.      6.91   57.
       1.533389E16      1.80D-18     2.277    4.     9.      0.00   57.
       1.559452E16      8.70D-19     3.000    6.     2.      0.00   24.
       1.579688E16      4.17D-18     2.074    4.     5.      3.20   57.
       1.643205E16      1.39D-18     2.792    5.     5.      3.20   57.
       1.656208E16      2.50D-18     2.346    5.     9.      0.00   57.
       1.671401E16      1.30D-18     1.750    7.     9.      8.35   31.
       1.719725E16      1.48D-18     2.225    5.     9.      0.00   57.
       1.737839E16      2.70D-18     1.000    4.    10.     15.74   39.
       1.871079E16      1.27D-18       831    6.     6.      0.00   39.
       1.873298E16      9.10D-19     3.000    4.     1.      0.00   31.
       1.903597E16      2.90D-18     1.000    4.    12.      8.88   39.
       2.060738E16      4.60D-18     1.000    3.    12.     22.84   58.
       2.125492E16      5.90D-19     1.000    6.     6.      9.99   32.
       2.162610E16      1.69D-18     1.937    5.     6.      7.71   58.
       2.226127E16      1.69D-18     1.841    5.    10.      5.08   58.
       2.251163E16      9.30D-19     2.455    6.     6.      7.71   58.
       2.278001E16      7.90D-19     1.000    6.     9.     10.20   40.
       2.317678E16      1.65D-18     2.277    6.    10.      5.08   58.
       2.348946E16      3.11D-18     1.963    6.     4.      0.00   58.
       2.351911E16      7.30D-19     1.486    5.     6.      7.71   58.
       2.366973E16      5.00D-19     1.000    4.     2.      0.00   32.
       2.507544E16      6.90D-19     1.000    6.     3.     19.69   40.
       2.754065E16      7.60D-19     1.000    2.     1.      0.00   40.
       2.864850E16      1.54D-18     2.104    6.     1.      7.92   59.
       2.965598E16      1.53D-18     2.021    6.     5.      3.76   59.
       3.054151E16      1.40D-18     1.471    6.     9.      0.00   59.
       3.085141E16      2.80D-18     1.000    4.     5.     11.01   59.
       3.339687E16      3.60D-19     1.000    6.     2.      0.00   41.
       3.818757E16      4.90D-19     1.145    6.     6.      0.00   60.
